Name,Type,Population 2020,Land area sq mi,Land area km2,Population density
La Grange Park,Village,"13,475",2.233,5.78,"6,034.5/sq mi (2,329.9/km2)"
Lincolnwood,Village,"13,463",2.692,6.97,"5,001.1/sq mi (1,930.9/km2)"
Channahon,Village,"13,383",15.622,40.46,856.7/sq mi (330.8/km2)
Hazel Crest,Village,"13,382",3.397,8.8,"3,939.4/sq mi (1,521.0/km2)"
Lincoln,City,"13,288",6.247,16.18,"2,127.1/sq mi (821.3/km2)"
Canton,City,"13,242",7.858,20.35,"1,685.2/sq mi (650.6/km2)"
Northlake,City,"12,840",3.176,8.23,"4,042.8/sq mi (1,560.9/km2)"
Richton Park,Village,"12,775",4.392,11.38,"2,908.7/sq mi (1,123.1/km2)"
Minooka,Village,"12,758",9.405,24.36,"1,356.5/sq mi (523.8/km2)"
Winnetka,Village,"12,744",3.811,9.87,"3,344.0/sq mi (1,291.1/km2)"
Justice,Village,"12,600",2.84,7.36,"4,436.6/sq mi (1,713.0/km2)"
Kewanee,City,"12,509",6.597,17.09,"1,896.2/sq mi (732.1/km2)"
Streator,City,"12,500",7.293,18.89,"1,714.0/sq mi (661.8/km2)"
Rantoul,Village,"12,371",8.49,21.99,"1,457.1/sq mi (562.6/km2)"
Herrin,City,"12,352",9.673,25.05,"1,277.0/sq mi (493.0/km2)"
Effingham,City,"12,252",10.309,26.7,"1,188.5/sq mi (458.9/km2)"
Centralia,City,"12,182",8.2,21.24,"1,485.6/sq mi (573.6/km2)"
Cahokia[a],Village,"12,096",9.753,25.26,"1,240.2/sq mi (478.9/km2)"
Palos Heights,City,"12,068",3.774,9.77,"3,197.7/sq mi (1,234.6/km2)"
Plano,City,"11,847",8.979,23.26,"1,319.4/sq mi (509.4/km2)"
River Forest,Village,"11,717",2.48,6.42,"4,724.6/sq mi (1,824.2/km2)"
Schiller Park,Village,"11,709",2.77,7.17,"4,227.1/sq mi (1,632.1/km2)"
Markham,City,"11,661",5.405,14,"2,157.4/sq mi (833.0/km2)"
Burr Ridge,Village,"11,192",7.143,18.5,"1,566.8/sq mi (605.0/km2)"
Summit,Village,"11,161",2.119,5.49,"5,267.1/sq mi (2,033.6/km2)"
Pontiac,City,"11,150",8.382,21.71,"1,330.2/sq mi (513.6/km2)"
Waterloo,City,"11,013",8.132,21.06,"1,354.3/sq mi (522.9/km2)"
Columbia,City,"10,999",10.303,26.68,"1,067.6/sq mi (412.2/km2)"
Roscoe,Village,"10,983",10.265,26.59,"1,069.9/sq mi (413.1/km2)"
Fox Lake,Village,"10,978",7.833,20.29,"1,401.5/sq mi (541.1/km2)"
Worth,Village,"10,970",2.369,6.14,"4,630.6/sq mi (1,787.9/km2)"
Troy,City,"10,960",5.62,14.56,"1,950.2/sq mi (753.0/km2)"
Campton Hills,Village,"10,885",16.89,43.74,644.5/sq mi (248.8/km2)
Crestwood,Village,"10,826",3.049,7.9,"3,550.7/sq mi (1,370.9/km2)"
Lyons,Village,"10,817",2.207,5.72,"4,901.2/sq mi (1,892.4/km2)"
Barrington,Village,"10,722",4.608,11.93,"2,326.8/sq mi (898.4/km2)"
Riverdale,Village,"10,663",3.575,9.26,"2,982.7/sq mi (1,151.6/km2)"
River Grove,Village,"10,612",2.391,6.19,"4,438.3/sq mi (1,713.6/km2)"
Taylorville,City,"10,506",10.315,26.72,"1,018.5/sq mi (393.3/km2)"
Wood River,City,"10,464",6.975,18.07,"1,500.2/sq mi (579.2/km2)"
Pingree Grove,Village,"10,365",3.637,9.42,"2,849.9/sq mi (1,100.3/km2)"
Highland,City,"9,991",6.751,17.49,"1,479.9/sq mi (571.4/km2)"
Sauk Village,Village,"9,921",3.992,10.34,"2,485.2/sq mi (959.5/km2)"
Peru,City,"9,896",9.987,25.87,990.9/sq mi (382.6/km2)
Winfield,Village,"9,835",3.09,8,"3,182.8/sq mi (1,228.9/km2)"
Flossmoor,Village,"9,704",3.661,9.48,"2,650.6/sq mi (1,023.4/km2)"
Steger,Village,"9,584",3.404,8.82,"2,815.5/sq mi (1,087.1/km2)"
LaSalle,City,"9,582",13.457,34.85,712.0/sq mi (274.9/km2)
Itasca,Village,"9,543",5.022,13.01,"1,900.2/sq mi (733.7/km2)"
Harvard,City,"9,469",8.355,21.64,"1,133.3/sq mi (437.6/km2)"
Rochelle,City,"9,446",13.296,34.44,710.4/sq mi (274.3/km2)
Mahomet,Village,"9,434",9.722,25.18,970.4/sq mi (374.7/km2)
Manhattan,Village,"9,385",6.681,17.3,"1,404.7/sq mi (542.4/km2)"
Bethalto,Village,"9,310",7.591,19.66,"1,226.5/sq mi (473.5/km2)"
Riverside,Village,"9,298",1.978,5.12,"4,700.7/sq mi (1,815.0/km2)"
Sugar Grove,Village,"9,278",11.748,30.43,789.8/sq mi (304.9/km2)
Willowbrook,Village,"9,236",2.572,6.66,"3,591.0/sq mi (1,386.5/km2)"
Manteno,Village,"9,210",5.344,13.84,"1,723.4/sq mi (665.4/km2)"
Lynwood,Village,"9,116",4.964,12.86,"1,836.4/sq mi (709.0/km2)"
Harwood Heights,Village,"9,065",0.825,2.14,"10,987.9/sq mi (4,242.4/km2)"
Hawthorn Woods,Village,"9,062",8.046,20.84,"1,126.3/sq mi (434.9/km2)"
Monmouth,City,"8,902",4.242,10.99,"2,098.5/sq mi (810.3/km2)"
Savoy,Village,"8,857",3.233,8.37,"2,739.6/sq mi (1,057.8/km2)"
Glencoe,Village,"8,849",3.718,9.63,"2,380.0/sq mi (918.9/km2)"
Rock Falls,City,"8,789",3.983,10.32,"2,206.6/sq mi (852.0/km2)"
Mascoutah,City,"8,754",9.578,24.81,914.0/sq mi (352.9/km2)
Lake Villa,Village,"8,741",6.515,16.87,"1,341.7/sq mi (518.0/km2)"
Clarendon Hills,Village,"8,702",1.81,4.69,"4,807.7/sq mi (1,856.3/km2)"
Olney,City,"8,701",6.931,17.95,"1,255.4/sq mi (484.7/km2)"
Glenwood,Village,"8,662",3.264,8.45,"2,653.8/sq mi (1,024.6/km2)"
Crete,Village,"8,465",9.409,24.37,899.7/sq mi (347.4/km2)
Long Grove,Village,"8,366",12.387,32.08,675.4/sq mi (260.8/km2)
Gilberts,Village,"8,366",5.489,14.22,"1,524.1/sq mi (588.5/km2)"
Jerseyville,City,"8,337",5.237,13.56,"1,591.9/sq mi (614.7/km2)"
Hillside,Village,"8,320",3.168,8.21,"2,626.3/sq mi (1,014.0/km2)"
Paris,City,"8,291",5.676,14.7,"1,460.7/sq mi (564.0/km2)"
Maryville,Village,"8,221",5.676,14.7,"1,448.4/sq mi (559.2/km2)"
Harrisburg,City,"8,219",6.612,17.13,"1,243.0/sq mi (479.9/km2)"
Oak Brook,Village,"8,163",7.959,20.61,"1,025.6/sq mi (396.0/km2)"
Island Lake,Village,"8,051",3.348,8.67,"2,404.7/sq mi (928.5/km2)"
Silvis,City,"8,003",4.285,11.1,"1,867.7/sq mi (721.1/km2)"
Broadview,Village,"7,998",1.777,4.6,"4,500.8/sq mi (1,737.8/km2)"
South Beloit,City,"7,989",6.144,15.91,"1,300.3/sq mi (502.0/km2)"
Lincolnshire,Village,"7,940",4.559,11.81,"1,741.6/sq mi (672.4/km2)"
Park City,City,"7,885",1.157,3,"6,815.0/sq mi (2,631.3/km2)"
Rockton,Village,"7,863",6.862,17.77,"1,145.9/sq mi (442.4/km2)"
Princeton,City,"7,832",8.24,21.34,950.5/sq mi (367.0/km2)
West Dundee,Village,"7,686",3.637,9.42,"2,113.3/sq mi (815.9/km2)"
Round Lake Park,Village,"7,680",2.063,5.34,"3,722.7/sq mi (1,437.4/km2)"
Hampshire,Village,"7,667",9.505,24.62,806.6/sq mi (311.4/km2)
Inverness,Village,"7,616",6.534,16.92,"1,165.6/sq mi (450.0/km2)"
Marengo,City,"7,568",8.536,22.11,886.6/sq mi (342.3/km2)
Vandalia,City,"7,458",8.147,21.1,915.4/sq mi (353.4/km2)
North Riverside,Village,"7,426",1.644,4.26,"4,517.0/sq mi (1,744.0/km2)"
Salem,City,"7,282",6.991,18.11,"1,041.6/sq mi (402.2/km2)"
West Frankfort,City,"7,275",4.98,12.9,"1,460.8/sq mi (564.0/km2)"
Sandwich,City,"7,221",4.736,12.27,"1,524.7/sq mi (588.7/km2)"
Robinson,City,"7,150",4.699,12.17,"1,521.6/sq mi (587.5/km2)"
University Park,Village,"7,145",10.727,27.78,666.1/sq mi (257.2/km2)
Stickney,Village,"7,110",1.924,4.98,"3,695.4/sq mi (1,426.8/km2)"
Murphysboro,City,"7,093",5.248,13.59,"1,351.6/sq mi (521.8/km2)"
Greenville,City,"7,083",6.309,16.34,"1,122.7/sq mi (433.5/km2)"
Mendota,City,"7,061",5.056,13.09,"1,396.6/sq mi (539.2/km2)"
Calumet Park,Village,"7,025",1.117,2.89,"6,289.2/sq mi (2,428.3/km2)"
Mount Carmel,City,"7,015",4.809,12.46,"1,458.7/sq mi (563.2/km2)"
Clinton,City,"7,004",3.572,9.25,"1,960.8/sq mi (757.1/km2)"
Orland Hills,Village,"6,893",1.145,2.97,"6,020.1/sq mi (2,324.4/km2)"
Chester,City,"6,814",5.806,15.04,"1,173.6/sq mi (453.1/km2)"
Benton,City,"6,709",5.48,14.19,"1,224.3/sq mi (472.7/km2)"
Winthrop Harbor,Village,"6,705",4.637,12.01,"1,446.0/sq mi (558.3/km2)"
Litchfield,City,"6,605",8.989,23.28,734.8/sq mi (283.7/km2)
Geneseo,City,"6,539",4.646,12.03,"1,407.4/sq mi (543.4/km2)"
Countryside,City,"6,420",2.878,7.45,"2,230.7/sq mi (861.3/km2)"
Johnsburg,Village,"6,355",7.163,18.55,887.2/sq mi (342.5/km2)
Braidwood,City,"6,194",5.296,13.72,"1,169.6/sq mi (451.6/km2)"
Lakemoor,Village,"6,182",5.263,13.63,"1,174.6/sq mi (453.5/km2)"
Elburn,Village,"6,175",3.608,9.34,"1,711.5/sq mi (660.8/km2)"
Chillicothe,City,"6,128",5.274,13.66,"1,161.9/sq mi (448.6/km2)"
Volo,Village,"6,122",3.915,10.14,"1,563.7/sq mi (603.8/km2)"
Mount Zion,Village,"6,019",4.227,10.95,"1,423.9/sq mi (549.8/km2)"
Metropolis,City,"5,969",6.02,15.59,991.5/sq mi (382.8/km2)
Beardstown,City,"5,951",3.619,9.37,"1,644.4/sq mi (634.9/km2)"
Bartonville,Village,"5,945",8.05,20.85,738.5/sq mi (285.1/km2)
Monticello,City,"5,941",3.852,9.98,"1,542.3/sq mi (595.5/km2)"
Peoria Heights,Village,"5,908",2.492,6.45,"2,370.8/sq mi (915.4/km2)"
Hillsboro,City,"5,902",8.262,21.4,714.4/sq mi (275.8/km2)
Pontoon Beach,Village,"5,876",9.96,25.8,590.0/sq mi (227.8/km2)
Willow Springs,Village,"5,857",4.155,10.76,"1,409.6/sq mi (544.3/km2)"
Carterville,City,"5,848",5.266,13.64,"1,110.5/sq mi (428.8/km2)"
Du Quoin,City,"5,827",6.979,18.08,834.9/sq mi (322.4/km2)
East Alton,Village,"5,786",5.318,13.77,"1,088.0/sq mi (420.1/km2)"
Northfield,Village,"5,751",3.23,8.37,"1,780.5/sq mi (687.5/km2)"
Carlinville,City,"5,710",3.369,8.73,"1,694.9/sq mi (654.4/km2)"
Coal City,Village,"5,705",5.617,14.55,"1,015.7/sq mi (392.2/km2)"
Wilmington,City,"5,664",13.803,35.75,410.3/sq mi (158.4/km2)
