name,type,lat,lon,pop_2020,LA_sqmi,PD_sqmi
Pittsburg,Village,37.7769938,-88.8495103,565,2.065,273.6
Damiansville,Village,38.5100492,-89.619536,564,0.822,686.1
Schram City,Village,39.1642139,-89.463698,563,0.674,835.3
Andover,Village,41.2939249,-90.2920678,555,0.991,560.0
Valier,Village,38.0153279,-89.0425739,554,1.124,492.9
Ava,City,37.8883846,-89.4948169,553,1.057,523.2
Augusta,Village,40.2300454,-90.9501342,553,0.691,800.3
Crescent City,Village,40.7700351,-87.8589251,552,0.456,1210.5
Union,Village,37.4616454,-89.2504793,551,0.836,659.1
Pesotum,Village,39.9147532,-88.2733827,550,0.569,966.6
Keithsburg,City,41.0994792,-90.942643,550,2.558,215.0
Carlock,Village,40.5822588,-89.1320251,548,0.395,1387.3
Makanda,Village,37.6175093,-89.2090592,547,5.281,103.6
Evansville,Village,38.0903289,-89.9384406,547,0.788,694.2
Tamaroa,Village,38.137828,-89.2300807,544,0.958,567.8
Liberty,Village,39.8794914,-91.1079163,543,0.391,1388.7
Farina,Village,38.8218215,-88.78411795084074,540,1.457,370.6
Equality,Village,37.733936,-88.343376,539,0.877,614.6
Lyndon,Village,41.7175302,-89.9259481,537,0.757,709.4
Wilsonville,Village,39.0708798,-89.8562091,536,0.956,560.7
Westfield,Village,39.4564247,-87.996146,536,0.978,548.1
Indian Creek,Village,42.2269684,-87.9797968,536,0.267,2007.5
Burlington,Village,42.0528038,-88.5481412,535,6.855,78.0
Mettawa,Village,42.2333571,-87.9259058,533,5.449,97.8
Strasburg,Village,39.3525383,-88.619224,531,0.541,981.5
Junction City,Village,38.5803267,-89.1278468,527,0.684,770.5
Chandlerville,Village,40.0481033,-90.1551189,527,0.794,663.7
Mound City,City,37.0853292,-89.1625731,526,0.675,779.3
Patoka,Village,38.7553259,-89.0953417,525,1.115,470.9
St. David,Village,40.4933728,-90.0487284,522,0.299,1745.8
Mulberry Grove,Village,38.925046,-89.2689626,520,1.003,518.4
Hoyleton,Village,38.4417163,-89.2742452,520,0.76,684.2
Cullom,Village,40.8778116,-88.2692177,520,0.335,1552.2
Mark,Village,41.2644805,-89.2500869,519,1.065,487.3
Elsah,Village,38.9561594,-90.3598364,519,1.092,475.3
Dawson,Village,39.8528263,-89.463428,519,0.792,655.3
Trout Valley,Village,42.1980798,-88.2534159,515,0.428,1203.3
Grand Ridge,Village,41.236138,-88.8312426,515,0.462,1114.7
Cowden,Village,39.2483753,-88.8622895,515,0.402,1281.1
Golf,Village,42.0570448,-87.7899876,514,0.448,1147.3
Wapella,Village,40.2203145,-88.9620246,513,0.551,931.0
Iuka,Village,38.6161588,-88.790334,512,0.733,698.5
Shipman,Town,39.1175462,-90.0442728,511,1.32,387.1
North City,Village,37.9923395,-89.06446238919136,509,2.171,234.5
Hammond,Village,39.7969783,-88.5917296,508,0.757,671.1
Creal Springs,City,37.6194946,-88.8367311,505,1.027,491.7
Dahlgren,Village,38.1982172,-88.6848404,504,1.017,495.6
Prairie du Rocher,Village,38.0831081,-90.0959463,502,0.571,879.2
Dakota,Village,42.3888153,-89.5264123,500,0.249,2008.0
Woodson,Village,39.6264105,-90.22664550771009,498,0.394,1264.0
Reynolds,Village,41.3297558,-90.670416,498,0.368,1353.3
Congerville,Village,40.6169813,-89.2042501,497,0.963,516.1
Rankin,Village,40.4650357,-87.8964219,495,0.579,854.9
Buckley,Village,40.5969794,-88.0380959,495,0.316,1566.5
Sidell,Village,39.9097575,-87.8211393,489,0.927,527.5
Fithian,Village,40.1139242,-87.8730857,488,0.383,1274.2
Thompsonville,Village,37.9175489,-88.7622836,486,2.031,239.3
Tower Hill,Village,39.3878184,-88.9606321,485,1.005,482.6
Buda,Village,41.3261476,-89.6789874,482,1.014,475.3
Chadwick,Village,42.0133599,-89.8906765,481,0.311,1546.6
San Jose,Village,40.305598,-89.6028829,479,0.414,1157.0
Grand Tower,City,37.6264389,-89.4978743,479,1.248,383.8
Hutsonville,Village,39.1094852,-87.6564145,478,0.622,768.5
Oak Grove,Village,41.4136501,-90.5688924,476,0.658,723.4
Chapin,Village,39.7658796,-90.3990129,475,0.998,476.0
Spring Bay,Village,40.8244814,-89.5223152,474,0.683,694.0
Dix,Village,38.4417157,-88.9375635,469,2.074,226.1
Lenzburg,Village,38.287271,-89.8173229,468,1.155,405.2
Emden,Village,40.2986538,-89.4851011,467,0.235,1987.2
Ullin,Village,37.2769948,-89.1834113,466,2.811,165.8
Ohio,Village,41.5575349,-89.4609276,465,0.753,617.5
Tovey,Village,39.5889391,-89.4562045,464,0.223,2080.7
Bowen,Village,40.2333789,-91.0626375,464,0.428,1084.1
Altona,Village,41.1147594,-90.1645637,463,0.938,493.6
Ashley,City,38.3294942,-89.1909097,462,1.128,409.6
